,dyad,ec,ec_avg
1004,D002,0.0,0.0
1005,D002,0.0,0.204
1006,D002,0.0,0.0
1007,D002,0.0,0.285
1008,D002,1.0,0.449
1009,D002,0.0,0.54
1010,D002,1.0,0.504
1011,D002,1.0,0.369
1012,D002,0.0,0.0
1013,D002,0.0,0.53
1014,D002,1.0,0.704
1015,D002,0.0,0.0
1016,D002,0.0,0.0
1017,D002,0.0,0.0
1018,D002,0.0,0.0
1019,D002,0.0,0.0
1020,D002,0.0,0.333
1021,D002,1.0,0.52
1022,D002,0.0,0.064
1023,D002,0.0,0.0
1024,D002,0.0,0.0
1025,D002,0.0,0.0
1026,D002,0.0,0.0
1027,D002,0.0,0.0
1028,D002,0.0,0.0
1029,D002,0.0,0.534
1030,D002,0.0,0.0
1031,D002,0.0,0.0
1032,D002,0.0,0.0
1033,D002,0.0,0.479
1034,D002,0.0,0.0
1035,D002,0.0,0.024
1036,D002,0.0,0.262
1037,D002,0.0,0.0
1038,D002,0.0,0.0
1039,D002,0.0,0.0
1040,D002,0.0,0.819
1041,D002,0.0,0.075
1042,D002,1.0,1.0
1043,D002,1.0,0.689
1044,D002,0.0,0.0
1045,D002,0.0,0.287
1046,D002,0.0,0.0
1047,D002,0.0,0.0
1048,D002,0.0,0.0
1049,D002,0.0,0.0
1050,D002,0.0,0.0
1051,D002,0.0,0.254
1052,D002,0.0,0.0
1053,D002,0.0,0.0
1054,D002,0.0,0.0
1055,D002,0.0,0.0
1056,D002,0.0,0.0
1057,D002,0.0,0.0
1058,D002,0.0,0.0
1059,D002,0.0,0.0
1060,D002,0.0,0.385
1061,D002,1.0,0.234
1062,D002,0.0,0.535
